Name;TOA (UTC+3);TOA (UTC+0);Illuminated;RTC;OBC On/Off;RM0 On/Off;RM1 On/Off;OSS On/Off;Sensors On/Off;SDR On/Off;N/A 0;N/A 1;Guard flag OBC;Guard flag RM0;Guard flag RM1;Guard flag OSS;Guard flag Sensors;Guard flag SDR;N/A 2;N/A 3;System Bus Voltage [mV];System Bus Current [mA];BA Charge [mA/h];Current on OBC [mA];Current on RM1 [mA];Current on RМ2 [mA];Current on OSS [mA];Current on Sensors [mA];Current on SDR [mA];Min Temp BA [C];Max Temp BA [C];Current from SP1 [mA];Current from SP2 [mA];Current from SP3 [mA];Current from SP4 [mA];Bus voltage SP;BA discharge On/Off 72;BA discharge On/Off 73;BA discharge On/Off 74;BA discharge On/Off 75;BA discharge On/Off 76;BA discharge On/Off 77;N/A 4;N/A 5;BA charge On/Off 72;BA charge On/Off 73;BA charge On/Off 74;BA charge On/Off 75;BA charge On/Off 76;BA charge On/Off 77;N/A 6;N/A 7;BA Charge %;Packet (HEX)
Polytech_U1;2022-08-30-03:07:52;2022-08-30-00:07:52;0;112586;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7100;-150;400;0;0;80;0;0;0;0;0;0;0;0;0;125;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;25;01027ec024e3311143628305da070097ff0acab70104008efd0400000400000000000000000005303019
Polytech_U1;2022-08-30-03:07:52;2022-08-30-00:07:52;0;112586;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7100;-150;400;0;0;80;0;0;0;0;0;0;0;0;0;125;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;25;01027ec024e3311143628305da070097ff0acab70104008efd0400000400000000000000000005303019
Polytech_U1;2022-08-30-03:08:51;2022-08-30-00:08:51;0;112646;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7100;-150;400;0;0;80;0;0;0;0;0;0;0;0;0;125;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;25;01027ec024696a11436284057209009eff0a06b80104008efd0400000400000000000000000005303019
Polytech_U1;2022-08-30-03:08:51;2022-08-30-00:08:51;0;112646;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7100;-150;400;0;0;80;0;0;0;0;0;0;0;0;0;125;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;25;01027ec024696a11436284057209009eff0a06b80104008efd0400000400000000000000000005303019
Polytech_U1;2022-08-30-03:08:51;2022-08-30-00:08:51;0;112646;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7100;-150;400;0;0;80;0;0;0;0;0;0;0;0;0;125;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;25;01027ec024696a11436284057209009eff0a06b80104008efd0400000400000000000000000005303019
Polytech_U1;2022-08-30-03:09:38;2022-08-30-00:09:38;0;112701;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7100;-150;400;0;0;80;0;0;0;0;0;0;0;0;0;125;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;25;01027ec024e7a311436285050a0b0099ff0a3db80104008efd0400000400000000000000000005303019
Polytech_U1;2022-08-30-03:09:38;2022-08-30-00:09:38;0;112701;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7100;-150;400;0;0;80;0;0;0;0;0;0;0;0;0;125;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;25;01027ec024e7a311436285050a0b0099ff0a3db80104008efd0400000400000000000000000005303019
Polytech_U1;2022-08-30-03:09:52;2022-08-30-00:09:52;0;112701;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7100;-150;400;0;0;80;0;0;0;0;0;0;0;0;0;125;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;25;01027ec024e7a311436285050a0b0099ff0a3db80104008efd0400000400000000000000000005303019
Polytech_U1;2022-08-30-03:10:37;2022-08-30-00:10:37;0;112756;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7100;-150;400;0;0;80;0;0;0;0;0;0;0;0;0;125;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;25;01027ec0240fdb1143628605a20c009cff0a74b80104008efd0400000400000000000000000005303019
Polytech_U1;2022-08-30-03:10:37;2022-08-30-00:10:37;0;112756;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7100;-150;400;0;0;80;0;0;0;0;0;0;0;0;0;125;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;25;01027ec0240fdb1143628605a20c009cff0a74b80104008efd0400000400000000000000000005303019
